序号,事项范围,负责人,开始时间,结束时间,备注说明,状态,完成天数,=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(A1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(A1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(B1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(B1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(C1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(C1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(D1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(D1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(E1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(E1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(F1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(F1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(G1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(G1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(H1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(H1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(I1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(I1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(J1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(J1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(K1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(K1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(L1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(L1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(M1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(M1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(N1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(N1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(O1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(O1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(P1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(P1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(Q1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(Q1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(R1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(R1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(S1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(S1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(T1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(T1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(U1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(U1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(V1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(V1)),""),=IF(MONTH(WORKDAY(DATE(2026,7,0),COLUMN(W1)))=7,WORKDAY(DATE(2026,7,0),COLUMN(W1)),"")
1,My tokens原型初稿,雷蕾,2026/7/6,2026/7/7,https://leilei7728.github.io/aihub-prototype/aihub.html,已完成,,
2,需求评审,雷蕾,2026/7/8,2026/7/8,会议纪要地址,已完成,,
3,Wetokens原型评审修订版,雷蕾,2026/7/9,2026/7/13,https://leilei7728.github.io/aihub-prototype/My%20tokens.html,已完成,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
